account_id,timestamp,amount,location,device_type,transaction_velocity,is_foreign_transaction,location_change_since_last_tx,new_device_used,failed_login_attempts,merchant_risk_score,account_age_days,amount_vs_avg,time_of_day,fraud
acct_2,2026-01-01T08:00:00,240.21,CT,Android,1,0,0,0,0,0.13,1908,1.09,8,0
acct_2,2026-01-01T08:18:00,145.39,CT,iPhone,1,0,0,0,1,0.2,1908,0.66,8,0
acct_2,2026-01-01T08:28:00,289.48,CT,Android,1,0,0,0,1,0.19,1908,1.32,8,0
acct_2,2026-01-01T08:33:00,131.65,CT,Android,1,0,0,0,0,0.18,1908,0.6,8,0
acct_2,2026-01-01T09:12:00,215.81,CT,iPhone,2,0,0,0,0,0.08,1908,0.98,9,0
acct_2,2026-01-01T08:45:00,240.65,CT,Android,1,0,0,0,0,0.23,1908,1.09,8,0
acct_2,2026-01-01T09:36:00,144.17,CT,iPhone,1,0,0,0,0,0.34,1908,0.66,9,0
acct_2,2026-01-01T09:59:00,210.16,CT,Android,1,0,0,0,1,0.12,1908,0.96,9,0
acct_2,2026-01-01T09:12:00,178.75,CT,iPhone,1,0,0,0,0,0.29,1908,0.81,9,0
acct_2,2026-01-01T10:24:00,320.3,CT,Android,1,0,0,0,0,0.06,1908,1.46,10,0
acct_2,2026-01-01T10:00:00,206.15,CT,Android,1,0,0,0,0,0.31,1908,0.94,10,0
acct_2,2026-01-01T11:07:00,208.51,CT,Android,1,0,0,0,0,0.27,1908,0.95,11,0
acct_2,2026-01-01T10:12:00,176.92,CT,iPhone,1,0,0,0,0,0.28,1908,0.8,10,0
acct_2,2026-01-01T11:41:00,126.2,CT,Android,1,0,0,0,0,0.13,1908,0.57,11,0
acct_2,2026-01-01T12:12:00,153.23,CT,Android,1,0,0,0,0,0.15,1908,0.7,12,0
acct_2,2026-01-01T10:15:00,202.82,CT,iPhone,1,0,0,0,0,0.12,1908,0.92,10,0
acct_2,2026-01-01T12:32:00,255.01,CT,iPhone,1,0,0,0,0,0.15,1908,1.16,12,0
acct_2,2026-01-01T10:16:00,161.63,CT,Android,1,0,0,0,0,0.07,1908,0.73,10,0
acct_2,2026-01-01T13:42:00,230.32,CA,iPhone,1,0,1,0,1,0.26,1908,1.05,13,0
acct_2,2026-01-01T12:26:00,206.23,CT,iPhone,1,0,1,0,0,0.08,1908,0.94,12,0
acct_2,2026-01-01T11:00:00,223.08,CT,iPhone,1,0,0,0,0,0.27,1908,1.01,11,0
acct_2,2026-01-01T11:51:00,203.36,CT,Android,1,0,0,0,0,0.32,1908,0.92,11,0
acct_2,2026-01-01T12:46:00,137.76,CT,Android,2,0,0,0,0,0.08,1908,0.63,12,0
